Time Deltas	Message	Detail	Time (secs)
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372012517)	9.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.0003
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000194
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mt_Access, s-TMSI(mmec 90, m-TMSI 3372012517)	6.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000397
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000187
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372012517)	6.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000543
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000208
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372012517)	6.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000332
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000257
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 1002160505498	3.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.061717
T3	______[0xB062] LTE MAC RACH attempt	Success	3e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	6.4e-05
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372025015)	7.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000385
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000213
T1	__rrcConnectionRequest	Pci238@Earfcn651 mo_Signalling, random Value 293429063828	2.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.015924
T3	______[0xB062] LTE MAC RACH attempt	Success	4e-06
T4	__rrcConnectionSetup	Pci238@Earfcn651	9.1e-05
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372027361)	5.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000431
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000223
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372027361)	5.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000327
T3	______[0xB062] LTE MAC RACH attempt	Success	1e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000183
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 683907479002	2.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001362
T3	______[0xB062] LTE MAC RACH attempt	Success	8e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000157
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372031392)	5.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000448
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000198
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 1026113280427	3.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.031036
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000176
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372033889)	5.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000323
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000206
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 1096751867507	2.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00048
T3	______[0xB062] LTE MAC RACH attempt	Success	6e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000113
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372037819)	5.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000351
T3	______[0xB062] LTE MAC RACH attempt	Success	1.4e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000219
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 86570737805	1.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000307
T3	______[0xB062] LTE MAC RACH attempt	Success	3e-06
T4	__rrcConnectionSetup	Pci402@Earfcn651	7.1e-05
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372040251)	6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000277
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000191
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Signalling, random Value 492669411128	3.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00779
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000296
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372044195)	2.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	8.4e-05
T3	______[0xB062] LTE MAC RACH attempt	Success	4e-06
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000118
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Signalling, random Value 222567898984	3.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001442
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000219
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372046696)	8.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000411
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000195
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372046696)	5.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000338
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000207
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Signalling, random Value 213415187088	3.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.057925
T3	______[0xB062] LTE MAC RACH attempt	Success	3e-06
T4	__rrcConnectionSetup	Pci478@Earfcn66786	8.4e-05
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372050596)	5.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000356
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000196
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Signalling, random Value 14914481940	9.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001093
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000184
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372052922)	7.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000219
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000231
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Signalling, random Value 349908543619	3.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.005403
T3	______[0xB062] LTE MAC RACH attempt	Success	1.4e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000293
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 303134365949	4.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.052887
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000187
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372059313)	4.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000187
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000224
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Signalling, random Value 807871849162	3.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.01633
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000204
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372063004)	5.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000211
T3	______[0xB062] LTE MAC RACH attempt	Success	9e-06
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000175
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 529428948664	3.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001799
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000226
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372065377)	9.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000271
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000206
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 223062518705	5.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000946
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000185
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372069255)	6.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000251
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000208
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 900822045072	2.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.004536
T3	______[0xB062] LTE MAC RACH attempt	Success	7e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000119
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372071680)	2.9e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000153
T3	______[0xB062] LTE MAC RACH attempt	Success	5e-06
T4	__rrcConnectionSetup	Pci478@Earfcn66786	8.7e-05
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 686884140681	5.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000888
T3	______[0xB062] LTE MAC RACH attempt	Success	1.5e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000187
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372075547)	5.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000362
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000215
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 255288172970	1.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000671
T3	______[0xB062] LTE MAC RACH attempt	Success	6e-06
T4	__rrcConnectionSetup	Pci402@Earfcn651	9.2e-05
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372077990)	7.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000372
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000247
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372077990)	2.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000132
T3	______[0xB062] LTE MAC RACH attempt	Success	3e-06
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.00011
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 760713128243	2.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.011108
T3	______[0xB062] LTE MAC RACH attempt	Success	4e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000112
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372081937)	6.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000248
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000189
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 547659642102	0.054278
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001243
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000194
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372084330)	4.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000223
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000256
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 71300692018	4.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00106
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000188
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372088121)	5.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000431
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000193
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 124782346108	4.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001239
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000176
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372090360)	6.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000262
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000193
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 456822739798	4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.038462
T3	______[0xB062] LTE MAC RACH attempt	Success	1e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000233
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372094153)	7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000197
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000247
T1	__rrcConnectionRequest	Pci238@Earfcn651 mo_Signalling, random Value 598144522059	4.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000808
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci238@Earfcn651	0.000173
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 511121143274	2.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.004909
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.00025
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372100503)	5.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000233
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000189
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Signalling, random Value 306712194286	1.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.004273
T3	______[0xB062] LTE MAC RACH attempt	Success	6e-06
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000106
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372102937)	7.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000334
T3	______[0xB062] LTE MAC RACH attempt	Success	1.8e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000272
T1	__rrcConnectionRequest	Pci238@Earfcn651 mo_Signalling, random Value 473106827268	1.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.035401
T3	______[0xB062] LTE MAC RACH attempt	Success	0.000125
T4	__rrcConnectionSetup	Pci238@Earfcn651	0.000115
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372106746)	5.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000212
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000188
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 868344277656	5.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.03081
T3	______[0xB062] LTE MAC RACH attempt	Success	5e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000107
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372109149)	6.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000229
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000207
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372109149)	6.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00028
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000223
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 425629119396	1.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000625
T3	______[0xB062] LTE MAC RACH attempt	Success	6e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000195
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372112972)	6.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000326
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci283@Earfcn66786	0.000205
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 974673121567	3.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.003968
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000173
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372115425)	6.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000386
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000194
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 864036828771	3.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.015981
T3	______[0xB062] LTE MAC RACH attempt	Success	5e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	9.7e-05
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372119155)	3.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000104
T3	______[0xB062] LTE MAC RACH attempt	Success	5e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000108
T1	__rrcConnectionRequest	Pci283@Earfcn66786 mo_Signalling, random Value 236086615567	3.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.040106
T3	______[0xB062] LTE MAC RACH attempt	Success	4e-06
T4	__rrcConnectionSetup	Pci283@Earfcn66786	6.5e-05
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372121587)	6.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000306
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000207
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 700299449147	1.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000359
T3	______[0xB062] LTE MAC RACH attempt	Success	4e-06
T4	__rrcConnectionSetup	Pci402@Earfcn651	7e-05
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372125430)	4.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000192
T3	______[0xB062] LTE MAC RACH attempt	Success	8e-06
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.00013
T1	__rrcConnectionRequest	Pci238@Earfcn651 mo_Signalling, random Value 729564928055	5.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00129
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci238@Earfcn651	0.000215
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372127795)	8.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000242
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000194
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 527057849386	3.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000731
T3	______[0xB062] LTE MAC RACH attempt	Success	8e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000136
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372131529)	0.000116
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000432
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000266
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372131529)	2.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000104
T3	______[0xB062] LTE MAC RACH attempt	Success	3e-06
T4	__rrcConnectionSetup	Pci478@Earfcn66786	6.2e-05
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 302223454872	5.3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001116
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000218
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372133859)	8.6e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000377
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000192
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 645818793497	1.5e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000329
T3	______[0xB062] LTE MAC RACH attempt	Success	4e-06
T4	__rrcConnectionSetup	Pci402@Earfcn651	8.6e-05
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 549287890283	3.4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.043504
T3	______[0xB062] LTE MAC RACH attempt	Success	5e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000114
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372140093)	7.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000436
T3	______[0xB062] LTE MAC RACH attempt	Success	1.7e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.000289
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 535269542727	4e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000884
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000183
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 128399570374	3.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.001032
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.002505
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372146209)	4.8e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.00022
T3	______[0xB062] LTE MAC RACH attempt	Success	1.1e-05
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000181
T1	__rrcConnectionRequest	Pci402@Earfcn651 mo_Signalling, random Value 235221733742	1.7e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.023999
T3	______[0xB062] LTE MAC RACH attempt	Success	1.3e-05
T4	__rrcConnectionSetup	Pci402@Earfcn651	0.000192
T1	__rrcConnectionRequest	Pci478@Earfcn66786 mo_Data, s-TMSI(mmec 90, m-TMSI 3372150018)	7.2e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000317
T3	______[0xB062] LTE MAC RACH attempt	Success	1.2e-05
T4	__rrcConnectionSetup	Pci478@Earfcn66786	0.00019
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Signalling, random Value 981756142967	1.1e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.002426
T3	______[0xB062] LTE MAC RACH attempt	Success	5e-06
T4	__rrcConnectionSetup	Pci292@Earfcn651	0.000133
T1	__rrcConnectionRequest	Pci292@Earfcn651 mo_Data, s-TMSI(mmec 90, m-TMSI 3372152381)	3e-05
T2	______[0xB061] LTE MAC RACH trigger	Connection request	0.000335
T3	______[0xB062] LTE MAC RACH attempt	Success	5e-06
